train_days,test_day,alpha_agg,beta_agg,OOS_MAE_TT,OOS_RMSE_TT,OOS_MAPE_TT_%
57,710,0.262941176,3.117647059,0.090779386,0.164137574,19.22087931
57,711,0.262941176,3.117647059,0.109214879,0.211324933,19.71168065
57,712,0.262941176,3.117647059,0.11045574,0.216215319,20.58030876
57,713,0.262941176,3.117647059,0.116818207,0.229511059,20.61836901
57,714,0.262941176,3.117647059,0.168604718,0.307465409,25.79840321
57,717,0.262941176,3.117647059,0.090245307,0.167306255,18.70238256
57,718,0.262941176,3.117647059,0.114398857,0.225139597,19.85629873
57,719,0.262941176,3.117647059,0.102622842,0.195386319,20.10139438
57,720,0.262941176,3.117647059,0.185422065,0.372781455,26.95315521
57,721,0.262941176,3.117647059,0.21718351,0.419840038,26.71468851
57,724,0.262941176,3.117647059,0.064660037,0.122509843,15.29958937
57,725,0.262941176,3.117647059,0.115747465,0.224340863,20.08450729
57,726,0.262941176,3.117647059,0.167069742,0.336467418,22.81702821
57,727,0.262941176,3.117647059,0.102511544,0.194719915,20.00630889
57,728,0.262941176,3.117647059,0.156437362,0.296793644,24.36187612
57,731,0.262941176,3.117647059,0.072341933,0.133433539,16.38164304
,,,AVERAGE,0.124,0.239,21.076
