day,day4,q_vph,tt_obs_min,tt_pred_agg_min
07-25,0725,414,0.20324005891016197,0.19772211913089396
07-25,0725,399,0.20145985401459857,0.19765916307188242
07-25,0725,429,0.20087336244541487,0.19779009565140931
07-25,0725,369,0.2038404726735598,0.19754750180369066
07-25,0725,282,0.20444444444444446,0.19731784323802687
07-25,0725,354,0.20294117647058826,0.19749839359701288
07-25,0725,264,0.2038404726735598,0.19728531879422762
07-25,0725,312,0.21068702290076338,0.1973826771150536
07-25,0725,291,0.2103658536585366,0.19733584960393713
07-25,0725,255,0.20535714285714285,0.1972707170926233
07-25,0725,222,0.20294117647058826,0.1972258598130348
07-25,0725,228,0.2090909090909091,0.1972330558379527
07-25,0725,183,0.20720720720720726,0.19718830522902034
07-25,0725,204,0.2075187969924812,0.19720662521866977
07-25,0725,243,0.20535714285714285,0.19725287672632752
07-25,0725,213,0.20720720720720726,0.19721581254177104
07-25,0725,174,0.2132921174652241,0.19718169304410216
07-25,0725,180,0.2090909090909091,0.19718602249680364
07-25,0725,147,0.2090909090909091,0.19716581451256568
07-25,0725,153,0.209726443768997,0.1971688640332742
07-25,0725,180,0.20414201183431954,0.19718602249680364
07-25,0725,168,0.21068702290076338,0.19717766846763987
07-25,0725,162,0.21198156682027652,0.19717393704197933
07-25,0725,120,0.2100456621004566,0.19715505110691256
07-25,0725,111,0.21068702290076338,0.1971524199805163
07-25,0725,132,0.20689655172413793,0.1971592703213946
07-25,0725,123,0.21904761904761905,0.19715602691126494
07-25,0725,123,0.21100917431192662,0.19715602691126494
07-25,0725,159,0.20535714285714285,0.1971721776099056
07-25,0725,105,0.2100456621004566,0.1971508988173059
07-25,0725,93,0.2103658536585366,0.19714836555832205
07-25,0725,126,0.20689655172413793,0.19715705443981743
07-25,0725,129,0.2103658536585366,0.1971581351045476
07-25,0725,144,0.2081447963800905,0.19716438516291326
07-25,0725,132,0.20566318926974667,0.1971592703213946
07-25,0725,93,0.20877458396369142,0.19714836555832205
07-25,0725,117,0.2065868263473054,0.19715412561882914
07-25,0725,108,0.2090909090909091,0.1971516370354815
07-25,0725,159,0.20597014925373136,0.1971721776099056
07-25,0725,147,0.20414201183431954,0.19716581451256568
07-25,0725,132,0.20627802690582958,0.1971592703213946
07-25,0725,150,0.20566318926974667,0.19716730698882956
07-25,0725,156,0.20474777448071216,0.19717048709086515
